phrase,frequency,words
"người phụ_nữ",1806,2
"sự xuất_hiện của",1776,3
"cô gái",1502,2
"người đàn_ông",1280,2
"đứng",1144,1
"nhiều người",1135,2
"xuất_hiện của",1121,2
"đường",1102,1
"người",1048,1
"xuất_hiện",836,1
"di_chuyển",735,1
"ngồi",555,1
"bức ảnh",547,2
"một_vài người",528,2
"khu chợ",496,2
"quầy hàng",470,2
"xe_máy",465,1
"xuất_hiện của nhiều",464,3
"nhóm người",434,2
"kệ hàng",431,2
"cầm",414,1
"cửa_hàng",413,1
"ngôi nhà",411,2
"siêu_thị",402,1
"bày_bán",382,1
"tay",362,1
"trước",347,1
"trưng_bày",336,1
"màu trắng",329,2
"màu đỏ",321,2
"rau củ quả",303,3
"nhau",299,1
"vỉa_hè",299,1
"toà nhà",292,2
"đặt",271,1
"củ quả",259,2
"màu vàng",253,2
"bàn",252,1
"căn nhà",245,2
"người xuất_hiện",233,2
"treo",228,1
"chàng trai",228,2
"con phố",223,2
"con đường",219,2
"cặp đôi",212,2
"nhiều",210,1
"chụp ảnh",209,2
"xe đẩy siêu_thị",205,3
"áo trắng",196,2
"màu đen",196,2
"nón lá",195,2
"một_vài",186,1
"áo đen",184,2
"bức tranh",182,2
"của",180,1
"đi bộ",179,2
"nam thanh_niên",178,2
"trái",177,1
"trước của",172,2
"phải",170,1
"đẩy siêu_thị",169,2
"căn phòng",166,2
"quán ăn",163,2
"đội nón lá",162,3
"mặt_nước",158,1
"của cô gái",154,3
"lề_đường",152,1
"áo đỏ",147,2
"màu xanh",143,2
"xanh lá cây",143,3
"con thuyền",142,2
"màu xanh lá",139,3
"của nhiều người",138,3
"tường",137,1
"nhìn",135,1
"trước cửa_hàng",133,2
"lối đi",131,2
"xanh dương",130,2
"con sông",129,2
"đèn_lồng",129,1
"nhiều mặt_hàng",129,2
"thuyền",127,1
"khu di_tích",127,2
"mua hàng",127,2
"dựng",124,1
"lá cây",124,2
"đi",122,1
"sông",122,1
"xuất_hiện của một_vài",120,3
"của người phụ_nữ",117,3
"bức tường",116,2
"biển",113,1
"nhiều người xuất_hiện",113,3
"phương_tiện giao_thông",111,2
"người phụ_nữ đội",111,3
"hàng rau củ",106,3
"xe_đạp",106,1
"phố",102,1
"quầy hàng rau",98,3
"đám đông",96,2
"áo_dài",95,1
"cây cầu",94,2
"bày",92,1
"màu xanh dương",92,3
"tạo_dáng chụp ảnh",91,3
"đứng trước",90,2
"áo xanh",90,2
"bạn nữ",90,2
"sau lưng của",90,3
"đứa trẻ",89,2
"trang_trí giáng_sinh",89,2
"giữa",87,1
"của toà nhà",87,3
"đỗ",87,1
"trước toà nhà",86,3
"gian_hàng",86,1
"đeo kính",86,2
"nhà cao_tầng",85,2
"bức tượng",85,2
"đồ trang_trí giáng_sinh",85,3
"áo vàng",84,2
"phụ_nữ đội nón",83,3
"trước ngôi nhà",82,3
"người phụ_nữ đeo",82,3
"tủ kính",81,2
