sample_id,image_id,image_file,image_path,reference_cultural_terms,reference_facets,references,vig_prediction,cultural_entity_missed,template_bias,object_hallucination,notes,draft_recovered_terms,draft_missing_terms,draft_possible_hallucinated_terms
1,64,00000000064.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000064.jpg,chợ,sinh_hoạt,có nhiều người xuất_hiện ở bên trong một khu chợ ||| đây là khung_cảnh xuất_hiện ở bên trong một khu chợ ||| có nhiều xe_cộ đang di_chuyển bên trong khu chợ ||| ở trong khu chợ có nhiều xe_cộ đang di_chuyển ||| có nhiều người đang chạy xe_máy ở trong khu chợ,có nhiều người đang xuất_hiện ở bên trong khu chợ,N,N,N,recover=chợ; generic_cues=2; AI draft; cần duyệt bằng ảnh,chợ,,
2,93,00000000093.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000093.jpg,xuồng; nón_lá; ghe,phương_tiện; trang_phục,có hai người phụ_nữ đang ngồi trên con ghe ||| có hai người phụ_nữ đang ngồi trên chiếc xuồng ||| ở trên chiếc xuồng có hai người phụ_nữ đội nón lá ||| có hai người phụ_nữ đội nón lá ở trên xuồng ||| ở trên xuồng có sự xuất_hiện của hai người phụ_nữ,có một chiếc xuồng đang di_chuyển trên mặt_nước,Y,N,REVIEW,"recover=xuồng; miss=nón_lá,ghe; possible_hallucination=mặt_nước; AI draft; cần duyệt bằng ảnh",xuồng,nón_lá; ghe,mặt_nước
3,228,00000000228.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000228.jpg,đèn_lồng,trang_trí,có một cô gái đang ngồi trên một chiếc xe_đạp ||| có một cô gái đang đi xe_đạp ở phía trước một quán nước ||| có những chiếc lồng đèn được treo ở trước mái_hiên của quán nước ||| ở trước quán nước có sự xuất_hiện của những chiếc đèn_lồng ||| ở phía trước quán nước có một cô gái đang ngồi xe_đạp,có một cô gái đang ngồi ở trên vỉa_hè,Y,Y,REVIEW,miss=đèn_lồng; generic_cues=2; possible_hallucination=vỉa_hè; AI draft; cần duyệt bằng ảnh,,đèn_lồng,vỉa_hè
4,78,00000000078.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000078.jpg,áo_dài; ghe,trang_phục; phương_tiện,có một nhóm các em học_sinh đang đứng xung_quanh một tấm bia ||| ở xung_quanh tấm bia có sự xuất_hiện của các em học_sinh ||| ở phía xa_xa của khung hình có sự xuất_hiện của một ngôi nhà có mái tranh ||| có một người mặc áo_dài đen đang thuyết_trình cho nhóm học_sinh ||| có một nhóm học_sinh đang lắng_nghe người phụ_nữ mặc áo_dài thuyết_minh,có một nhóm người đang đứng trước một khu di_tích,Y,Y,REVIEW,"miss=áo_dài,ghe; generic_cues=1; possible_hallucination=khu di_tích; AI draft; cần duyệt bằng ảnh",,áo_dài; ghe,khu di_tích
5,560,00000000560.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000560.jpg,chợ; cờ,sinh_hoạt; biểu_tượng,đây là khung_cảnh chụp ở phía trước một khu chợ ||| có nhiều người xuất_hiện ở trước cổng của khu chợ ||| có nhiều người đang ở trước cổng vào của khu chợ ||| ở trước cổng vào của khu chợ có nhiều người đang đứng ||| có những lá cờ được treo ở phía trên cổng vào khu chợ,đây là khung_cảnh xuất_hiện ở phía trước của một khu chợ,Y,N,N,recover=chợ; miss=cờ; generic_cues=1; AI draft; cần duyệt bằng ảnh,chợ,cờ,
6,509,00000000509.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000509.jpg,khu_di_tích; ngôi_chùa,kiến_trúc-cảnh_quan,có nhiều người đang di_chuyển ở lối đi vào khu di_tích ||| có một nhóm người đang di_chuyển về phía cửa vào khu di_tích ||| đây là hình_ảnh chụp lối vào của một ngôi chùa ||| đây là khung_cảnh xuất_hiện ở lối vào của một khu di_tích ||| có những chậu cây được đặt ở hai bên của khu di_tích,đây là khung_cảnh xuất_hiện ở một khu di_tích lịch_sử,Y,Y,N,recover=khu_di_tích; miss=ngôi_chùa; generic_cues=1; AI draft; cần duyệt bằng ảnh,khu_di_tích,ngôi_chùa,
7,331,00000000331.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000331.jpg,xích_lô,phương_tiện,có những chiếc xích_lô đang di_chuyển trên phố ||| có những chiếc xích_lô đang đi nối_đuôi nhau trên phố ||| có những chiếc mặt_nạ được treo ở trên bức tường ||| ở trên bức tường có những chiếc mặt_nạ đang được treo ||| ở trên phố có những chiếc xích_lô di_chuyển nối_đuôi nhau,có một_vài chiếc xích_lô đang di_chuyển ở trên đường,N,N,REVIEW,recover=xích_lô; possible_hallucination=đường; AI draft; cần duyệt bằng ảnh,xích_lô,,đường
8,428,00000000428.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000428.jpg,hàng_rong,sinh_hoạt,có nhiều người đang di_chuyển ở trên con phố ||| có nhiều người đang đi bộ ở trên con phố ||| có một_vài người bán hàng rong đang di_chuyển ở trên phố ||| có một người phụ_nữ đang vác đòn_gánh ở bên đường ||| có một nhóm người đang xuất_hiện ở trên đường,có một người đàn_ông đang cầm trên tay một bó hoa,Y,Y,REVIEW,"miss=hàng_rong; generic_cues=2; possible_hallucination=bó hoa,hoa; AI draft; cần duyệt bằng ảnh",,hàng_rong,bó hoa; hoa
9,534,00000000534.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000534.jpg,chợ; chợ_đêm,sinh_hoạt,có nhiều người đang xuất_hiện ở trong một khu chợ đêm ||| có nhiều cửa_hàng bán quần_áo ở trong khu chợ ||| có nhiều cửa_hàng trong khu chợ bày_bán các mặt_hàng quần_áo ||| đây là khung_cảnh xuất_hiện ở một khu chợ đêm ||| có nhiều người đang ở trước những cửa_hàng quần_áo,có nhiều người đang di_chuyển ở trên đường,Y,Y,REVIEW,"miss=chợ,chợ_đêm; generic_cues=1; possible_hallucination=đường; AI draft; cần duyệt bằng ảnh",,chợ; chợ_đêm,đường
10,123,00000000123.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000123.jpg,khu_phố_cổ,kiến_trúc-cảnh_quan,đây là khung_cảnh xuất_hiện ở trên một con phố ||| đây là khung_cảnh xuất_hiện bên trong khu_phố cổ ||| khu_phố cổ đang ở trong trạng_thái vắng người ||| có những ngôi nhà có tường màu vàng ở hai bên con phố ||| có nhiều cây_cổ_thụ ở hai bên vỉa_hè của khu_phố,những ngôi nhà ở trên phố đang trong trạng_thái đóng_cửa,Y,N,N,miss=khu_phố_cổ; AI draft; cần duyệt bằng ảnh,,khu_phố_cổ,
