image_id,image_filename,reviewed,needs_review,caption_quality,specificity,cultural_entity_missed,template_bias,object_hallucination,wrong_object_or_action,language_issue,expected_cultural_terms,predicted_cultural_terms,explanation,updated_at
1,00000000001.jpg,True,False,correct,specific,False,False,False,False,False,,,,2026-06-06T18:35:43+00:00
8,00000000008.jpg,True,False,wrong,generic,False,True,True,True,False,,,Prediction đúng chủ thể “nhiều người” nhưng bỏ sót hành động múa/biểu diễn nghệ thuật và mô tả sai bối cảnh từ “phố đi bộ” thành “bậc thang”.,2026-06-06T18:45:47+00:00
30,00000000030.jpg,True,False,partial,unsure,False,False,False,True,True,,,"Prediction nhận diện đúng đối tượng “tàu” nhưng sai về số lượng, khi ảnh có nhiều con tàu trong khi caption chỉ mô tả một con tàu.",2026-06-06T18:43:32+00:00
36,00000000036.jpg,True,False,correct,specific,False,False,False,False,False,,,,2026-06-06T18:39:39+00:00
42,00000000042.jpg,True,False,wrong,unsure,False,False,True,True,False,,,Trong ảnh không xuất hiện người đàn ông mặc áo trắng. Caption của ViG có khả năng đã nhầm vùng màu trắng của trang giấy thành trang phục của một người trong ảnh.,2026-06-06T18:44:23+00:00
64,00000000064.jpg,True,False,correct,specific,False,False,False,False,False,chợ,chợ,,2026-06-06T18:41:37+00:00
66,00000000066.jpg,True,False,wrong,unsure,False,False,True,True,False,,,"Prediction đúng bối cảnh sông nước nhưng quá chung chung, mô tả “những chiếc thuyền” thay vì một con tàu chở cây cảnh, đồng thời bỏ sót chi tiết quan trọng là các chậu cây cảnh trên tàu.",2026-06-06T18:47:01+00:00
78,00000000078.jpg,True,False,partial,generic,True,True,False,False,False,áo_dài;khu_di_tích,khu_di_tích,"ViG dự đoán “có một nhóm người đang đứng trước một khu di tích”, mô tả được chủ thể và bối cảnh chung nhưng còn quá khái quát. Các reference nhấn mạnh nhóm học sinh/em học sinh mặc áo dài và xuất hiện cùng tấm bia tại khu di tích. Khác biệt quan trọng nằm ở yếu tố văn hóa: reference có đề cập đến `áo_dài`, trong khi prediction bỏ sót hoàn toàn chi tiết này.",2026-06-06T18:58:00+00:00
86,00000000086.jpg,True,False,correct,specific,False,False,False,False,False,,,,2026-06-06T18:58:18+00:00
93,00000000093.jpg,True,False,partial,generic,True,True,False,False,True,xuồng;nón_lá;ghe,xuồng,"ViG dự đoán “có một chiếc xuồng đang di chuyển trên mặt nước”, qua đó nhận diện được phương tiện đường thủy và bối cảnh sông nước. Tuy nhiên, caption vẫn còn thiếu các chi tiết quan trọng trong reference, đặc biệt là hình ảnh người đội `nón_lá` và sự xuất hiện của `ghe`. Đây là lỗi bỏ sót yếu tố văn hóa, vì prediction chỉ mô tả phương tiện một cách chung chung mà không nhắc đến các marker văn hóa nổi bật trong ảnh.",2026-06-06T20:33:40+00:00
95,00000000095.jpg,True,False,correct,specific,False,False,False,False,False,,,,2026-06-06T18:59:43+00:00
104,00000000104.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG sinh: “có một_vài phương_tiện giao_thông đang di_chuyển ở trên đường”. Các reference thường nhấn mạnh: đường, một_vài, cao, xe_cộ, hình_ảnh và chụp. So với reference, prediction có vẻ bỏ qua/giảm nhẹ các chi tiết: cao, xe_cộ, hình_ảnh, chụp và nhìn. Độ trùng nội dung với reference tương đối cao.",2026-06-06T19:00:07+00:00
106,00000000106.jpg,True,False,wrong,specific,False,False,True,True,False,,,"Prediction mô tả sai trọng tâm: chỉ nhắc một phụ nữ mặc áo đen, trong khi reference nhấn mạnh nhóm/bà lão đang cắt cỏ trên đường. Caption bỏ sót số lượng chủ thể và hành động chính.",2026-06-06T19:01:05+00:00
111,00000000111.jpg,True,False,partial,generic,True,True,False,False,True,nón_lá,,"ViG dự đoán “ở trên mặt nước có sự xuất hiện của một chiếc thuyền”, qua đó nhận diện được bối cảnh sông nước và đối tượng phương tiện chính. Tuy nhiên, caption vẫn còn khá chung chung so với reference, vì bỏ sót hành động “chèo” và các chi tiết nổi bật như xe đạp, người đội nón lá. Đặc biệt, reference có nhắc đến yếu tố văn hóa `nón_lá`, trong khi prediction không đề cập đến chi tiết này.",2026-06-06T19:02:01+00:00
115,00000000115.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG sinh: “có một_vài người đang đứng ở bên trong siêu_thị”. Các reference thường nhấn mạnh: mặc, áo, giỏ, xanh, vàng và cầm. So với reference, prediction có vẻ bỏ qua/giảm nhẹ các chi tiết: mặc, áo, giỏ, xanh và vàng. Ngược lại, prediction nhấn mạnh/thêm các chi tiết: một_vài.",2026-06-06T19:02:26+00:00
118,00000000118.jpg,True,False,correct,specific,False,False,False,False,False,,,"Prediction đúng bối cảnh phòng trưng bày và nhóm người tham quan, nhưng còn chung chung, bỏ sót chi tiết nhóm bạn trẻ và đặc điểm áo xanh trong reference.",2026-06-06T19:05:09+00:00
123,00000000123.jpg,True,False,partial,specific,True,False,False,False,False,khu_phố_cổ,,"Prediction nắm được bối cảnh phố vắng nhưng còn chung chung, bỏ sót yếu tố văn hóa `khu_phố_cổ` và các đặc trưng cổ kính được nhắc trong reference.",2026-06-06T19:04:09+00:00
140,00000000140.jpg,True,False,correct,specific,False,False,False,False,True,,,"Prediction đúng đối tượng xe máy và hành động di chuyển, nhưng còn chung chung vì bỏ sót bối cảnh cụ thể là con ngõ .",2026-06-06T19:04:53+00:00
189,00000000189.jpg,True,False,unsure,specific,False,False,False,True,True,,,"Prediction mô tả đúng các chi tiết có trong ảnh như rau củ quả và kệ hàng, nên không phải hallucination. Tuy nhiên, caption lệch trọng tâm so với reference vì bỏ sót hai người mặc áo xanh và hành động cầm trái cây.",2026-06-06T19:06:40+00:00
190,00000000190.jpg,True,False,partial,specific,False,False,False,True,True,,,"Prediction sai tư thế khi mô tả nhân vật “đang đứng” trong khi thực tế là đang ngồi; đồng thời bỏ sót các chi tiết quan trọng như mỏm đá, mũ đỏ và ô tô.",2026-06-06T19:07:31+00:00
197,00000000197.jpg,True,False,correct,specific,False,False,False,False,False,,,"Prediction đúng chủ thể và bối cảnh quầy hàng, có độ trùng nội dung khá cao với reference, nhưng còn bỏ sót chi tiết quầy đồ ăn, tạp dề vàng và hoạt động bán hàng.",2026-06-06T19:08:01+00:00
204,00000000204.jpg,True,False,correct,specific,False,False,False,False,False,,,"Prediction đúng bối cảnh chung là người đứng trước cửa hàng, nhưng còn khái quát và bỏ sót các chi tiết cụ thể như cửa hàng tạp hoá, bảng hiệu và màu xanh lá.",2026-06-06T19:08:32+00:00
